,doc,chunk_id,Text
10,wiki,10,"The final took place on 11 May 2024 at 21:00 CEST and featured 25 competing countries. All 37 participating countries with jury and televote, as well as non-participating countries under an aggregated ""Rest of the World"" online vote, voted in the final. The running order (R/O) of the host nation was determined by a random draw on 11 March during the annual meeting of heads of the participating delegations. The running order for the remaining finalists was determined by the contest producers following the second semi-final. Despite qualifying for the final, where it was set to perform in position 5, the Netherlands was disqualified due to a backstage incident between its entrant Joost Klein and a member of the production team. It retained the right to vote in the final, and all countries that were set to perform after the Netherlands retained their running order numbers.
Switzerland won the contest with the song ""The Code"", performed by Nemo and written by them along with Benjamin Alasu, Lasse Midtsian Nymann, and Linda Dale. Switzerland won with 591 points, also winning the jury vote. It was the country's third win in the contest, following victories in the inaugural edition in 1956 and in 1988. Croatia came second with 547 points and won the televote, with Ukraine, France, Israel, Ireland, Italy, Armenia, Sweden, and Portugal completing the top ten. Georgia, Spain, Slovenia, Austria, and Norway occupied the bottom five positions.
The final was opened by Björn Skifs performing ""Hooked on a Feeling"", followed by the flag parade, introducing all twenty-five finalists, set to a medley of well-known Swedish hits. In a pre-recorded segment during a break between the competing performances, Sarah Dawn Finer as Lynda Woodruff performed a song about the contest's executive supervisor Martin Österdahl, ""You're Good to Go"", which was later released as a single. The interval acts included Alcazar performing ""Crying at the Discoteque""; a tribute performance of the 1974 Swedish winning song ""Waterloo"" by three past winners – Carola (Sweden 1991), Charlotte Perrelli (Sweden 1999) and Conchita Wurst (Austria 2014) – preceded by a pre-recorded segment from the ABBA Voyage concert residency in London in which the song's original performers, ABBA, as their virtual avatar selves in the concert, discussed their Eurovision experience on the occasion of its 50th anniversary; and Loreen performing her new single ""Forever"" and her 2023 winning song ""Tattoo"". Presenter Petra Mede also parodied the postcards in a short video skit, with archival footage from her previous hostings in 2013 and 2016 being featured. Following a reprise of their winning song, Nemo broke the trophy, although its design had been strengthened after the one presented to Alexander Rybak in 2009 met a similar fate."
11,wiki,11,"==== Spokespersons ====
The spokespersons announced the 12-point score from their respective country's national jury in the following order:


== Detailed voting results ==


=== Semi-final 1 ===
The ten qualifiers from the first semi-final were determined solely by televoting. All fifteen countries competing in the first semi-final voted, alongside Germany, Sweden, the United Kingdom, and the aggregated Rest of the World vote. The ten qualifying countries were announced in no particular order, and the full results were published after the final was held.


==== 12 points ====
Below is a summary of all 12 points received in the first semi-final. Croatia received the maximum score of 12 points from eight countries, while Ukraine received five sets of 12 points. Both Lithuania and Cyprus received two sets of 12 points, while Portugal and Serbia received one each.


=== Semi-final 2 ===
The ten qualifiers from the second semi-final were determined solely by televoting, with the exception of San Marino who were unable to provide a valid televote result and thus used the votes of their back-up jury. All sixteen countries competing in the second semi-final voted, alongside France, Italy, Spain, and the aggregated Rest of the World vote. The ten qualifying countries were announced in no particular order, and the full results of how each country voted were published after the final was held.


==== 12 points ====
Below is a summary of all 12 points received in the second semi-final. Israel received the maximum score of 12 points from ten countries, followed by the Netherlands which received four sets of 12 points. Armenia received two sets of 12 points, and Switzerland, Greece and Latvia were each awarded one set of 12 points.


=== Final ===
The results of the final were determined by televoting and jury voting in all thirty-seven participating countries, plus the Rest of the World aggregate public vote. The announcement of the jury points was conducted by each country individually, with the country's spokesperson announcing their jury's favorite entry that received 12 points, with the remaining points shown on screen. Following the completion of the jury points announcement, the public points were announced as an aggregate by the contest hosts in ascending order starting from the country which received the fewest points from the jury."
12,wiki,12,"==== 12 points ====
Below is a summary of all 12 points received in the final. In the jury vote, Switzerland received the maximum score from twenty-two countries, followed by France and Portugal with four and three sets of 12 points, respectively. Croatia and Ukraine received two sets of 12 points, and Croatia, Greece, Ireland, Luxembourg, and Sweden were each awarded one set of 12 points. In the public vote, Israel received the maximum score of 12 points from fourteen countries and the Rest of the World vote, followed by Croatia with nine sets of 12 points, and Ukraine with seven. Cyprus, Estonia, France, Greece, Luxembourg, Serbia, and Switzerland were each awarded one set of 12 points.


== Broadcasts ==
All participating broadcasters may choose to have on-site or remote commentators providing insight and voting information to their local audience. Although they are required to show the final and semi-final in which their country votes, most broadcasters cover all three shows. Some non-participating broadcasters also air the contest. The Eurovision Song Contest YouTube channel provides international live streams with no commentary of all shows. According to the EBU, in total 163 million people watched at least a minute of the television broadcasts, and 7.3 million people watched the YouTube broadcasts. Votes were received from 156 countries, including the 37 competing countries.


== Other awards ==
In addition to the main winner's trophy, the Marcel Bezençon Awards and the You're a Vision Award were contested during the Eurovision Song Contest 2024. The OGAE (General Organisation of Eurovision Fans) voting poll also took place before the contest. Eurovision Awards, an end-of-year poll conducted by the contest's official site, returned for a fourth year with the results determined across 12 categories.


=== Marcel Bezençon Awards ===
The Marcel Bezençon Awards, organised since 2002 by Sweden's then-head of delegation and 1992 representative Christer Björkman, and winner of the 1984 contest Richard Herrey, honours songs in the contest's final. The awards are divided into three categories: the Artistic Award, the Composers Award, and the Press Award. The winners were revealed shortly before the Eurovision final on 11 May."
13,wiki,13,"=== OGAE ===
OGAE, an organisation of over forty Eurovision Song Contest fan clubs across Europe and beyond, conducts an annual voting poll first held in 2002 as the Marcel Bezençon Fan Award. After all votes were cast, the top-ranked entry in the 2024 poll was Croatia's ""Rim Tim Tagi Dim"" performed by Baby Lasagna; the top five results are shown below.


=== You're a Vision Award ===
The You're a Vision Award (a word play of ""Eurovision""), established in 2022 by the fansite Songfestival.be following the cancellation of the Barbara Dex Award due to its associated negative connotations, aims to ""celebrate the creativity and diversity that embody the Eurovision spirit"", with the winner being the one with the most notable outfit. Croatia's Baby Lasagna won the 2024 award, with Ireland's Bambie Thug and the Netherlands' Joost Klein completing the top three.


== Incidents and controversies ==
The 2024 contest was described by some publications as one of the most controversial editions in the contest's history, with Scottish newspaper The National writing, ""it is very clear that, in the words of winner Nemo themself after their win, 'maybe Eurovision needs a little bit of fixing'.""


=== Israeli participation ===

The participation of Israel in the contest became controversial due to the Gaza war. There were calls for Israel to be excluded, and, when the EBU rejected this, various campaigns for participants and viewers to boycott the contest. The Israeli national selection was also controversial, with its chosen entry for the contest ultimately rewritten, as the lyrics of the original version of the song, titled ""October Rain"", were seen as referencing the 7 October Hamas-led attack on Israel, a breach of political neutrality rules; it was subsequently retitled ""Hurricane"". Other acts dismissed the idea of boycotting, but called for peace in the region. Israel ultimately placed second in the televote and fifth overall in the final, with the former result being partially attributed to a campaign run by the Israeli Ministry of Foreign Affairs to boost public votes.


=== Onstage display of pro-Palestinian gestures ==="
14,wiki,14,"=== Onstage display of pro-Palestinian gestures ===

Before the first semi-final, Ireland's entrant Bambie Thug was asked to replace Ogham-script text written on their body that read 'ceasefire' and 'freedom for Palestine'; they were subsequently changed to 'crown the witch'. During the opening act of the first semi-final, Eric Saade, whose father is Palestinian, performed wearing a keffiyeh. The EBU stated that his keffiyeh was a political symbol and that it regretted Saade's choice to ""compromise the non-political nature of the event"".
During the final, the Portuguese entrant Iolanda wore nail art featuring Palestinian symbols, and said ""peace will prevail"" at the end of her performance. The Portuguese delegation later claimed that the EBU did not upload Iolanda's performance in the final to its platforms, opting to use the semi-final performance instead, due to this. The Portuguese broadcaster RTP issued a complaint to the EBU, and Iolanda's performance in the final was uploaded later during the show. The EBU stated that technical difficulties were the reason for the semi-final performance being initially uploaded instead of the final performance."
15,wiki,15,"=== Misconduct allegations ===
Shortly after the first semi-final, an official complaint was lodged with the EBU regarding claims that members of Israeli fan clubs, two of which were officially associated with the EBU, ""[harassed] the Irish delegation at the EuroClub nightclub."" Unverified videos and claims were posted online purporting to show ""Israeli delegates and journalists harassing other media and delegations"", and a Spanish reporter was allegedly harassed by Israeli media after shouting a pro-Palestinian slogan, prompting the Spanish broadcaster RTVE to request the EBU to ""ensure freedom of press and opinion."" The artists representing Ireland (Bambie Thug), Switzerland (Nemo), and Greece (Marina Satti) were all absent from the flag parade of the third dress rehearsal for the final, held the afternoon before the live show. Bambie Thug stated that they were absent due to ""a situation [...] which [they] felt needed urgent attention from the EBU"". The Dutch broadcaster AVROTROS issued two complaints to the EBU regarding an ""unsafe environment in the arena"". No action was taken on the complaints during the contest. According to a report by Norwegian newspaper VG, Greece, Ireland, Norway, Portugal, Switzerland, and the United Kingdom all considered withdrawing from the final, before reaching an agreement with the EBU 25 minutes prior to the start of the show; Greek broadcaster ERT, head of the Swiss delegation Yves Schifferle, and Iolanda's management agency denied that the delegations were considering withdrawal, with Schifferle confirming that Nemo themself led the talks with the EBU on behalf of the artists concerned. Magnus Børmark, guitarist for the Norwegian representatives Gåte, also confirmed that there were withdrawal talks.
Following the contest, delegations from Serbia and Slovenia stated that they would prepare complaints to the EBU regarding the behaviour of the Israeli delegation. The Portuguese delegation asked for clarification from the EBU regarding incidents that occurred during the final, supported by delegations from Croatia, France, Norway, and Spain. The Israeli delegation accused other delegations and artists of ""immense pressure and an unprecedented display of hatred"". The EBU commissioned an independent investigation into the complaints regarding the working atmosphere during the event, and on 1 July 2024, it announced a number of organisational changes. Among these are the creation of a ""ESC director"" role to oversee the work of executive supervisor Martin Österdahl and the head of brand and commercial, and recommendations for the appointment of a welfare producer and a crisis management team."
16,wiki,16,"=== Claims of audience audio changes ===
Before, during, and after Israel's performances, booing from the audience in the venue was reported. There were claims by fans that the volume of the booing in the broadcasts was lowered by anti-booing technology, and that pre-recorded applauses were played. RTP's director, Nicolau Santos, as well as AVROTROS, supported these claims, and criticised the EBU's usage of the technology. The Slovenian broadcaster RTVSLO also addressed claims of audio distortion. A video posted to social media showed audio of the applause track cutting out and replaying during the announcement of the Dutch jury points. The EBU and SVT denied the allegations of audio censorship, stating that they ""do not censor sound from the arena audience. The same principle applies to all competing performances and opening and interval acts."" Eden Golan, Israel's representative, claimed in a post-contest interview that anti-booing technology was in place, and that the boos for her were being silenced and turned into cheers. Anti-booing technology was previously used in the 2015 contest.


=== Televoting results ===

At the end of the broadcast of the second semi-final, in which Italy voted, Italian broadcaster RAI displayed what appeared to be the televoting percentages recorded in the country. This contravened the rules of the contest, according to which the detailed results from all shows can only be published after the final. It was later clarified by RAI that the results shown were not complete, but were in fact partial results of the vote. The results from Italy published after the contest were different to the ones aired. Following the contest, RTVSLO called the televoting results into question, citing its doubts in the validity of the Slovenian vote, as well as questioning the introduction of the Rest of the World vote.


=== Disqualification of the Netherlands from the final ==="
17,wiki,17,"=== Disqualification of the Netherlands from the final ===

During the first dress rehearsal for the final, held on 10 May, the Dutch representative Joost Klein did not appear for his performance despite being present during the flag parade. An EBU press release said it was ""investigating an incident reported to [it] involving the Dutch artist"", as well as that ""he [would] not be rehearsing until further notice"". He was also not present for the jury show later that evening, and a recording of his performance from the second semi-final was used there instead.
The incident occurred backstage shortly after Klein's performance in the second semi-final, and involved a female camera operator, who filed a complaint against Klein to the Swedish Police Authority. Klein was claimed to have made a threatening gesture toward the operator, following the female camera operator's recording of Klein on his way to the green room; AVROTROS claimed it was agreed he would not be filmed there. Further details of the altercation were unclear at that time, however, the Swedish Police Authority stated that no assault had occurred. AVROTROS and its parent broadcasting organisation NPO held discussions with the EBU, ultimately leading the EBU to disqualify the Dutch entry from the final. This was the first time in the contest's history that an entrant was disqualified during the event. AVROTROS called the penalty ""very heavy and disproportionate"".
The Swedish Police Authority launched an investigation into the incident on the day it was reported, and the case was handed to the Swedish Prosecution Authority following the contest. The investigation was closed on 12 August 2024 due to a lack of evidence to prove that Klein ""was capable of causing serious fear or that [he] had any such intention"". AVROTROS subsequently offered Klein the opportunity to represent the Netherlands again in the 2025 contest, which he declined."
18,wiki,18,"=== Enforcement of flag policy ===
Swiss winner Nemo claimed in a press conference after their win that the non-binary flag had been banned by the EBU from the venue, accusing the organisers of ""double standards"" regarding the alleged forcing of fans to dispose of their flags before entering the venue. The singer, who identifies as non-binary and was the first openly non-binary performer to win the contest, admitted to violating this by bringing a non-binary flag in, which they displayed in the green room. The European Commission's vice president, Margaritis Schinas, also claimed on 13 May that the flag of the European Union (EU) was among those not permitted; he later filed a formal complaint to the EBU, after calling it a ""gift"" for the ""enemies of Europe"", a month ahead of the 2024 European Parliament election. There were also reports of Dutch flags being confiscated at the final after Joost Klein's disqualification. The EBU responded by stating that ""SVT's policy was to allow the flags of the participating countries and the rainbow flags,"" that there had not been an express ban on the EU flag in the written policy, and that ""due to heightened geopolitical tensions, the flag policy was more rigorously enforced by security at this year's event."" It also stated that it would review the flag policy with the Swiss Broadcasting Corporation (SRG SSR), which would host the 2025 contest following Nemo's win."
19,wiki,19,"== Reception ==
Following the 2024 contest, four entries entered the Billboard Global 200 chart dated 25 May 2024: the Netherlands' ""Europapa"" at number 51, Switzerland's winning entry ""The Code"" at number 52, Croatia's ""Rim Tim Tagi Dim"" at number 139, and France's ""Mon amour"" at number 144. On the Billboard Global Excl. US chart also dated 25 May 2024, the four aforementioned entries entered at numbers 24, 21, 64, and 61, respectively, followed by Italy's ""La noia"" at number 129 and Ukraine's ""Teresa & Maria"" at number 130. ""La noia"" had previously peaked at number 51 on the Global Excl. US chart and at number 110 on the Global 200 chart following its win at the Sanremo Music Festival 2024, which also doubled as the Italian national final.
In a November 2024 press release, Malmö Municipality revealed that the contest generated SEK 445 million from 159,680 visitors, including SEK 3.98 million from ticket sales. In addition, over 90% of city decor for the event were recycled.


== Official album ==

Eurovision Song Contest: Malmö 2024 is the official compilation album of the contest, featuring all 37 entries. It was put together by the European Broadcasting Union and was released by Universal Music Group digitally on 12 April 2024, in CD format on 19 April 2024, and in vinyl format on 24 May 2024.


=== Charts ===


== Notes ==


== References ==


== External links ==

Official website"
